onset	text	duration
2.09	The	0.20999999999999996
2.3	email	0.3600000000000003
2.66	came	0.41999999999999993
3.11	late	0.27
3.38	one	0.2400000000000002
3.62	afternoon	0.6899999999999995
4.55	as	0.1800000000000006
4.73	dr	0.3899999999999997
5.12	Carmen	0.3899999999999997
5.51	Reed	0.33000000000000007
5.84	was	0.17999999999999972
6.02	sitting	0.3600000000000003
6.38	in	0.15000000000000036
6.53	her	0.14999999999999947
6.68	office	0.5100000000000007
7.43	filling	0.33000000000000007
7.76	out	0.20999999999999996
7.97	medical	0.3600000000000003
8.33	charts	0.4499999999999993
8.81	for	0.17999999999999972
8.99	the	0.08999999999999986
9.08	patients	0.5399999999999991
9.65	she	0.2400000000000002
9.89	had	0.17999999999999972
10.07	seen	0.2699999999999996
10.34	that	0.2400000000000002
10.58	day	0.33000000000000007
11.75	It	0.17999999999999972
11.93	had	0.15000000000000036
12.08	been	0.20999999999999908
12.29	a	0.030000000000001137
12.32	long	0.29999999999999893
12.62	day	0.33000000000000007
13.01	at	0.15000000000000036
13.16	the	0.08999999999999986
13.25	busy	0.33000000000000007
13.58	clinic	0.39000000000000057
13.97	in	0.14999999999999858
14.12	Chicago	0.5700000000000003
14.69	where	0.15000000000000036
14.84	she	0.2400000000000002
15.08	worked	0.41999999999999993
15.95	and	0.21000000000000085
16.16	Carmen	0.35999999999999943
16.52	was	0.17999999999999972
16.7	tired	0.4800000000000004
17.18	and	0.17999999999999972
17.36	ready	0.240000000000002
17.6	to	0.14999999999999858
17.75	go	0.21000000000000085
17.96	home	0.39000000000000057
19.82	But	0.21000000000000085
20.03	the	0.11999999999999744
20.15	emails	0.5100000000000016
20.72	strange	0.6000000000000014
21.32	subject	0.5399999999999991
21.86	line	0.35999999999999943
22.22	caught	0.2699999999999996
22.49	her	0.18000000000000327
22.67	eye	0.29999999999999716
23.69	fellow	0.3299999999999983
24.02	doctor	0.5399999999999991
24.62	I	0.11999999999999744
24.74	need	0.3000000000000007
25.04	your	0.240000000000002
25.28	help	0.41999999999999815
26.33	It	0.21000000000000085
26.54	was	0.120000000000001
26.66	sent	0.23999999999999844
26.9	by	0.15000000000000213
27.05	someone	0.39000000000000057
27.44	named	0.389999999999997
27.89	dr	0.41999999999999815
28.31	John	0.33000000000000185
28.64	Torson	0.5999999999999979
29.9	intrigued	0.6900000000000013
30.65	Carmen	0.39000000000000057
31.04	began	0.39000000000000057
31.43	to	0.14999999999999858
31.58	read	0.360000000000003
33.79	Dr	0.35999999999999943
34.15	Torson	0.6300000000000026
34.84	said	0.29999999999999716
35.14	he	0.0899999999999963
35.23	was	0.15000000000000568
35.38	a	0.0899999999999963
35.47	classmate	0.509999999999998
35.98	of	0.09000000000000341
36.07	Carmen's	0.45000000000000284
36.52	from	0.17999999999999972
36.7	medical	0.35999999999999943
37.06	school	0.39000000000000057
38.26	She	0.17999999999999972
38.44	didn't	0.240000000000002
38.68	recognize	0.5700000000000003
39.25	his	0.17999999999999972
39.43	name	0.39000000000000057
40.09	but	0.17999999999999972
40.27	then	0.17999999999999972
40.45	again	0.35999999999999943
40.87	she	0.21000000000000085
41.08	wasn't	0.2700000000000031
41.35	great	0.240000000000002
41.59	with	0.17999999999999972
41.77	names	0.4799999999999969
43.09	Dr	0.35999999999999943
43.45	Torson	0.4799999999999969
43.93	had	0.17999999999999972
44.11	spent	0.29999999999999716
44.41	the	0.09000000000000341
44.5	last	0.39000000000000057
44.89	two	0.240000000000002
45.13	years	0.509999999999998
45.7	working	0.44999999999999574
46.15	in	0.14999999999999858
46.3	a	0.09000000000000341
46.39	remote	0.39000000000000057
46.78	part	0.269999999999996
47.05	of	0.09000000000000341
47.14	Peru	0.4799999999999969
48.07	deep	0.29999999999999716
48.37	in	0.15000000000000568
48.52	the	0.05999999999999517
48.58	Amazon	0.45000000000000284
49.03	jungle	0.4799999999999969
49.93	where	0.2700000000000031
50.2	a	0.05999999999999517
50.26	nonprofit	0.6600000000000037
50.92	organization	0.8399999999999963
51.91	had	0.240000000000002
52.15	built	0.30000000000000426
52.45	a	0.0899999999999963
52.54	small	0.3299999999999983
52.87	medical	0.39000000000000057
53.26	clinic	0.35999999999999943
53.62	for	0.17999999999999972
53.8	the	0.12000000000000455
53.92	villagers	0.5700000000000003
55.33	But	0.3299999999999983
55.81	dr	0.3299999999999983
56.14	Torson	0.4799999999999969
56.62	wrote	0.2700000000000031
57.22	he	0.21000000000000085
57.43	needed	0.29999999999999716
57.73	to	0.12000000000000455
57.85	return	0.509999999999998
58.36	to	0.14999999999999858
58.51	the	0.14999999999999858
58.66	United States	0.720000000000006
59.41	on	0.12000000000000455
59.53	very	0.269999999999996
59.8	short	0.3300000000000054
60.13	notice	0.4199999999999946
61.63	The	0.14999999999999858
61.78	clinic	0.3299999999999983
62.11	was	0.17999999999999972
62.29	the	0.09000000000000341
62.38	villagers	0.4799999999999969
62.86	only	0.3299999999999983
63.19	source	0.3300000000000054
63.52	of	0.0899999999999963
63.61	healthcare	0.6299999999999955
64.63	And	0.18000000000000682
64.81	with	0.14999999999999147
64.96	dr	0.3300000000000125
65.29	Tourists	0.35999999999999943
65.65	and	0.14999999999999147
65.8	leaving	0.45000000000000284
66.55	the	0.15000000000000568
66.7	nonprofit	0.6899999999999977
67.39	was	0.1799999999999926
67.57	threatening	0.5100000000000051
68.08	to	0.12000000000000455
68.2	close	0.29999999999999716
68.5	it	0.12000000000000455
68.62	down	0.44999999999998863
69.43	unless	0.35999999999999943
69.79	a	0.0899999999999892
69.88	replacement	0.5400000000000063
70.42	doctor	0.3299999999999983
70.75	could	0.18000000000000682
70.93	be	0.0899999999999892
71.02	found	0.3299999999999983
71.35	immediately	0.5700000000000074
73.09	Even	0.269999999999996
73.36	if	0.15000000000000568
73.51	Carmen	0.4200000000000017
73.93	could	0.1799999999999926
74.11	spare	0.35999999999999943
74.47	a	0.09000000000000341
74.56	couple	0.269999999999996
74.83	of	0.12000000000000455
74.95	months	0.480000000000004
75.7	it	0.14999999999999147
75.85	would	0.12000000000000455
75.97	be	0.12000000000000455
76.09	an	0.11999999999999034
76.21	enormous	0.4200000000000017
76.63	help	0.39000000000000057
77.95	Dr	0.3299999999999983
78.28	Torson	0.5100000000000051
78.79	wrote	0.3299999999999983
79.63	it	0.18000000000000682
79.81	breaks	0.3299999999999983
80.14	my	0.1799999999999926
80.32	heart	0.30000000000001137
80.62	to	0.11999999999999034
80.74	leave	0.21000000000000796
80.95	this	0.1799999999999926
81.13	place	0.480000000000004
81.94	but	0.18000000000000682
82.12	I	0.0899999999999892
82.21	really	0.30000000000001137
82.51	hope	0.20999999999999375
82.72	you	0.12000000000000455
82.84	consider	0.45000000000000284
83.29	coming	0.29999999999999716
83.59	to	0.14999999999999147
83.74	work	0.21000000000000796
83.95	here	0.269999999999996
84.7	I	0.11999999999999034
84.82	think	0.2400000000000091
85.06	you	0.09000000000000341
85.15	would	0.11999999999999034
85.27	find	0.27000000000001023
85.54	it	0.0899999999999892
85.63	very	0.27000000000001023
85.9	rewarding	0.5999999999999943
88.8	Later	0.3299999999999983
89.13	that	0.2400000000000091
89.37	night	0.29999999999999716
